time,seq,rtt,delay,jitter,loss
1776173280.900425,253,,,,1
1776173280.900425,254,,,,1
1776173280.900425,255,,,,1
1776173280.900425,256,,,,1
1776173280.900425,257,,,,1
1776173280.900425,258,,,,1
1776173280.900425,259,,,,1
1776173280.900425,260,,,,1
1776173280.900425,261,,,,1
1776173281.405204,262,,,,1
1776173281.405204,263,,,,1
1776173281.405204,264,,,,1
1776173281.405204,265,,,,1
1776173281.405204,266,,,,1
1776173281.405204,267,,,,1
1776173281.405204,268,,,,1
1776173281.405204,269,,,,1
1776173281.405204,270,,,,1
1776173281.405204,271,,,,1
1776173281.405204,272,,,,1
1776173281.405204,273,,,,1
1776173281.405204,274,,,,1
1776173281.405204,275,,,,1
1776173281.405204,276,,,,1
1776173281.405204,277,,,,1
1776173281.405204,278,,,,1
1776173281.405204,279,,,,1
1776173281.405204,280,,,,1
1776173281.405204,281,,,,1
1776173281.906069,282,,,,1
1776173281.906069,283,,,,1
1776173281.906069,284,,,,1
1776173281.906069,285,,,,1
1776173281.906069,286,,,,1
1776173281.906069,287,,,,1
1776173281.906069,288,,,,1
1776173281.906069,289,,,,1
1776173281.906069,290,,,,1
1776173281.906069,291,,,,1
1776173281.906069,292,,,,1
1776173281.906069,293,,,,1
1776173281.906069,294,,,,1
1776173281.906069,295,,,,1
1776173281.906069,296,,,,1
1776173281.906069,297,,,,1
1776173281.906069,298,,,,1
1776173281.906069,299,,,,1
1776173281.906069,300,,,,1
1776173281.906069,301,,,,1
1776173282.417341,302,,,,1
1776173282.417341,303,,,,1
1776173282.417341,304,,,,1
1776173282.417341,305,,,,1
1776173282.417341,306,,,,1
1776173282.417341,307,,,,1
1776173282.417341,308,,,,1
1776173282.417341,309,,,,1
1776173282.417341,310,,,,1
1776173282.417341,311,,,,1
1776173282.417341,312,,,,1
1776173282.417341,313,,,,1
1776173282.417341,314,,,,1
1776173282.417341,315,,,,1
1776173282.417341,316,,,,1
1776173282.417341,317,,,,1
1776173282.417341,318,,,,1
1776173282.417341,319,,,,1
1776173282.417341,320,,,,1
1776173282.417341,321,,,,1
1776173282.920733,322,,,,1
1776173282.920733,323,,,,1
1776173282.920733,324,,,,1
1776173282.920733,325,,,,1
1776173282.920733,326,,,,1
1776173282.920733,327,,,,1
1776173282.920733,328,,,,1
1776173282.920733,329,,,,1
1776173282.920733,330,,,,1
1776173282.920733,331,,,,1
1776173282.920733,332,,,,1
1776173282.920733,333,,,,1
1776173282.920733,334,,,,1
1776173282.920733,335,,,,1
1776173282.920733,336,,,,1
1776173282.920733,337,,,,1
1776173282.920733,338,,,,1
1776173282.920733,339,,,,1
1776173282.920733,340,,,,1
1776173283.423743,341,,,,1
1776173283.423743,342,,,,1
1776173283.423743,343,,,,1
1776173283.423743,344,,,,1
1776173283.423743,345,,,,1
1776173283.423743,346,,,,1
1776173283.423743,347,,,,1
1776173283.423743,348,,,,1
1776173283.423743,349,,,,1
1776173283.423743,350,,,,1
1776173283.423743,351,,,,1
1776173283.423743,352,,,,1
1776173283.423743,353,,,,1
1776173283.423743,354,,,,1
1776173283.423743,355,,,,1
1776173283.423743,356,,,,1
1776173283.423743,357,,,,1
1776173283.423743,358,,,,1
1776173283.423743,359,,,,1
1776173283.423743,360,,,,1
1776173283.930014,361,,,,1
1776173283.930014,362,,,,1
1776173283.930014,363,,,,1
1776173283.930014,364,,,,1
1776173283.930014,365,,,,1
1776173283.930014,366,,,,1
1776173283.930014,367,,,,1
1776173283.930014,368,,,,1
1776173283.930014,369,,,,1
1776173283.930014,370,,,,1
1776173283.930014,371,,,,1
1776173283.930014,372,,,,1
1776173283.930014,373,,,,1
1776173283.930014,374,,,,1
1776173283.930014,375,,,,1
1776173283.930014,376,,,,1
1776173283.930014,377,,,,1
1776173283.930014,378,,,,1
1776173283.930014,379,,,,1
1776173283.930014,380,,,,1
1776173284.430740,381,,,,1
1776173284.430740,382,,,,1
1776173284.430740,383,,,,1
1776173284.430740,384,,,,1
1776173284.430740,385,,,,1
1776173284.430740,386,,,,1
1776173284.430740,387,,,,1
1776173284.430740,388,,,,1
1776173284.430740,389,,,,1
1776173284.430740,390,,,,1
1776173284.430740,391,,,,1
1776173284.430740,392,,,,1
1776173284.430740,393,,,,1
1776173284.430740,394,,,,1
1776173284.430740,395,,,,1
1776173284.430740,396,,,,1
1776173284.430740,397,,,,1
1776173284.430740,398,,,,1
1776173284.430740,399,,,,1
1776173284.430740,400,,,,1
1776173284.430740,401,,,,1
1776173284.430740,402,,,,1
1776173284.944722,403,,,,1
1776173284.944722,404,,,,1
1776173284.944722,405,,,,1
1776173284.944722,406,,,,1
1776173284.944722,407,,,,1
1776173284.944722,408,,,,1
1776173284.944722,409,,,,1
1776173284.944722,410,,,,1
1776173284.944722,411,,,,1
1776173284.944722,412,,,,1
1776173284.944722,413,,,,1
1776173284.944722,414,,,,1
1776173284.944722,415,,,,1
1776173284.944722,416,,,,1
1776173284.944722,417,,,,1
1776173284.944722,418,,,,1
1776173284.944722,419,,,,1
1776173284.944722,420,,,,1
1776173284.944722,421,,,,1
1776173284.944722,422,,,,1
1776173284.944722,423,,,,1
1776173284.944722,424,,,,1
1776173285.448186,425,,,,1
1776173285.448186,426,,,,1
1776173285.448186,427,,,,1
1776173285.448186,428,,,,1
1776173285.448186,429,,,,1
1776173285.448186,430,,,,1
1776173285.448186,431,,,,1
1776173285.448186,432,,,,1
1776173285.448186,433,,,,1
1776173285.448186,434,,,,1
1776173285.448186,435,,,,1
1776173285.448186,436,,,,1
1776173285.448186,437,,,,1
1776173285.448186,438,,,,1
1776173285.448186,439,,,,1
1776173285.448186,440,,,,1
1776173285.448186,441,,,,1
1776173285.448186,442,,,,1
1776173285.448186,443,,,,1
1776173285.448186,444,,,,1
1776173285.448186,445,,,,1
1776173285.950327,446,,,,1
1776173285.950327,447,,,,1
1776173285.950327,448,,,,1
1776173285.950327,449,,,,1
1776173285.950327,450,,,,1
1776173285.950327,451,,,,1
1776173285.950327,452,,,,1
1776173285.950327,453,,,,1
1776173285.950327,454,,,,1
1776173285.950327,455,,,,1
1776173285.950327,456,,,,1
1776173285.950327,457,,,,1
1776173285.950327,458,,,,1
1776173285.950327,459,,,,1
1776173285.950327,460,,,,1
1776173285.950327,461,,,,1
1776173285.950327,462,,,,1
1776173285.950327,463,,,,1
1776173285.950327,464,,,,1
1776173285.950327,465,,,,1
1776173285.950327,466,,,,1
1776173286.455231,467,,,,1
1776173286.455231,468,,,,1
1776173286.455231,469,,,,1
1776173286.455231,470,,,,1
1776173286.455231,471,,,,1
1776173286.455231,472,,,,1
1776173286.455231,473,,,,1
1776173286.455231,474,,,,1
1776173286.455231,475,,,,1
1776173286.455231,476,,,,1
1776173286.455231,477,,,,1
1776173286.455231,478,,,,1
1776173286.455231,479,,,,1
1776173286.455231,480,,,,1
1776173286.455231,481,,,,1
1776173286.455231,482,,,,1
1776173286.455231,483,,,,1
1776173286.455231,484,,,,1
1776173286.455231,485,,,,1
1776173286.455231,486,,,,1
1776173286.455231,487,,,,1
1776173286.961556,488,,,,1
1776173286.961556,489,,,,1
1776173286.961556,490,,,,1
1776173286.961556,491,,,,1
1776173286.961556,492,,,,1
1776173286.961556,493,,,,1
1776173286.961556,494,,,,1
1776173286.961556,495,,,,1
1776173286.961556,496,,,,1
1776173286.961556,497,,,,1
1776173286.961556,498,,,,1
1776173286.961556,499,,,,1
1776173286.961556,500,,,,1
1776173286.961556,501,,,,1
1776173286.961556,502,,,,1
1776173286.961556,503,,,,1
1776173286.961556,504,,,,1
1776173286.961556,505,,,,1
1776173286.961556,506,,,,1
1776173286.961556,507,,,,1
1776173287.468068,508,,,,1
1776173287.468068,509,,,,1
1776173287.468068,510,,,,1
1776173287.468068,511,,,,1
1776173287.468068,512,,,,1
1776173287.468068,513,,,,1
1776173287.468068,514,,,,1
1776173287.468068,515,,,,1
1776173287.468068,516,,,,1
1776173287.468068,517,,,,1
1776173287.468068,518,,,,1
1776173287.468068,519,,,,1
1776173287.468068,520,,,,1
1776173287.468068,521,,,,1
1776173287.468068,522,,,,1
1776173287.468068,523,,,,1
1776173287.468068,524,,,,1
1776173287.468068,525,,,,1
1776173287.972592,526,,,,1
1776173287.972592,527,,,,1
1776173287.972592,528,,,,1
1776173287.972592,529,,,,1
1776173287.972592,530,,,,1
1776173287.972592,531,,,,1
1776173287.972592,532,,,,1
1776173287.972592,533,,,,1
1776173287.972592,534,,,,1
1776173287.972592,535,,,,1
1776173287.972592,536,,,,1
1776173287.972592,537,,,,1
1776173287.972592,538,,,,1
1776173287.972592,539,,,,1
1776173287.972592,540,,,,1
1776173287.972592,541,,,,1
1776173287.972592,542,,,,1
1776173287.972592,543,,,,1
1776173287.972592,544,,,,1
1776173287.972592,545,,,,1
1776173288.474066,546,,,,1
1776173288.474066,547,,,,1
1776173288.474066,548,,,,1
1776173288.474066,549,,,,1
1776173288.474066,550,,,,1
1776173288.474066,551,,,,1
1776173288.474066,552,,,,1
1776173288.474066,553,,,,1
1776173288.474066,554,,,,1
1776173288.474066,555,,,,1
1776173288.474066,556,,,,1
1776173288.474066,557,,,,1
1776173288.474066,558,,,,1
1776173288.474066,559,,,,1
1776173288.474066,560,,,,1
1776173288.474066,561,,,,1
1776173288.474066,562,,,,1
1776173288.474066,563,,,,1
1776173288.474066,564,,,,1
1776173288.984563,565,,,,1
1776173288.984563,566,,,,1
1776173288.984563,567,,,,1
1776173288.984563,568,,,,1
1776173288.984563,569,,,,1
1776173288.984563,570,,,,1
1776173288.984563,571,,,,1
1776173288.984563,572,,,,1
1776173288.984563,573,,,,1
1776173288.984563,574,,,,1
1776173288.984563,575,,,,1
1776173288.984563,576,,,,1
1776173288.984563,577,,,,1
1776173288.984563,578,,,,1
1776173288.984563,579,,,,1
1776173288.984563,580,,,,1
1776173288.984563,581,,,,1
1776173288.984563,582,,,,1
1776173288.984563,583,,,,1
1776173289.493714,584,,,,1
1776173289.493714,585,,,,1
1776173289.493714,586,,,,1
1776173289.493714,587,,,,1
1776173289.493714,588,,,,1
1776173289.493714,589,,,,1
1776173289.493714,590,,,,1
1776173289.493714,591,,,,1
1776173289.493714,592,,,,1
1776173289.493714,593,,,,1
1776173289.493714,594,,,,1
1776173289.493714,595,,,,1
1776173289.493714,596,,,,1
1776173289.493714,597,,,,1
1776173289.493714,598,,,,1
