timestamp,seq,rtt,delay,jitter,predicted_prob,prediction
1776183055.924556,286,24804.899,61.009,130.123,0.0020,1
1776183055.966151,287,24785.765,41.595,19.414,0.0020,0
1776183056.007812,288,24768.169,41.660,0.065,0.0020,0
1776183056.063488,289,24760.378,55.676,14.015,0.0020,0
1776183056.237904,290,24882.924,174.416,118.740,0.0020,1
1776183056.354055,291,24978.922,116.152,58.264,0.0020,0
1776183056.618781,292,25221.965,264.725,148.573,0.0020,1
1776183056.879711,293,25451.133,260.931,3.794,0.0020,0
1776183057.023794,294,25564.094,144.082,116.848,0.0020,1
1776183057.346970,295,25856.570,323.176,179.094,0.0020,1
1776183057.598845,296,26076.384,251.874,71.302,0.0020,0
1776183057.827508,297,26273.801,228.663,23.211,0.0020,0
1776183058.024658,298,26438.842,197.150,31.513,0.0020,0
1776183058.090734,299,26472.053,66.076,131.075,0.0020,1
1776183058.163610,300,26514.204,72.876,6.801,0.0020,0
1776183058.200010,301,26526.805,36.399,36.477,0.0020,0
1776183058.262464,302,26555.396,62.454,26.055,0.0020,0
1776183058.321539,303,26586.832,59.075,3.379,0.0020,0
1776183058.352940,304,26586.180,31.401,27.674,0.0020,0
1776183058.408171,305,26616.962,55.231,23.830,0.0020,0
1776183058.445408,306,26622.818,37.237,17.994,0.0020,0
1776183058.513465,307,26659.551,68.057,30.820,0.0020,0
1776183058.574621,308,26688.000,61.156,6.901,0.0020,0
1776183058.634097,309,26714.325,59.476,1.680,0.0020,0
1776183058.680814,310,26738.405,46.717,12.759,0.0020,0
1776183058.713345,311,26713.873,32.531,14.186,0.0020,0
1776183058.956078,312,26894.137,242.733,210.202,0.0020,1
1776183059.137485,313,27042.399,181.407,61.325,0.0020,0
1776183059.406399,314,27281.440,268.914,87.507,0.0020,0
1776183059.595385,315,27444.532,188.986,79.928,0.0020,0
1776183059.816615,316,27645.258,221.230,32.244,0.0020,0
1776183059.932973,317,27740.221,116.358,104.872,0.0020,1
1776183060.133159,318,27911.124,200.186,83.828,0.0020,0
1776183060.334608,320,28049.120,201.449,1.263,0.0020,0
1776183060.640233,321,28323.936,305.624,104.175,0.0020,1
1776183060.963769,322,28618.526,323.536,17.911,0.0020,0
1776183061.002577,323,28635.206,38.808,284.728,0.0020,1
1776183061.068309,324,28669.990,65.732,26.923,0.0020,0
1776183061.108604,325,28679.183,40.296,25.436,0.0020,0
